"Name","Category"
"Scrambled eggs with avocado & spinach","Breakfast"
"Grilled chicken salad + olive oil & avocado","Lunch"
"Omelette with cheese, mushrooms & bacon","Breakfast"
"Tuna salad (mayo) in lettuce cups","Lunch"
"Smoked salmon + cream cheese + cucumber + eggs","Breakfast"
"Cobb salad (chicken, bacon, egg, avocado, blue cheese)","Lunch"
"Full-fat Greek yogurt + chia + walnuts","Breakfast"
"Beef stir-fry with low-carb veggies + coconut oil","Lunch"
"Chia pudding (coconut milk) + almonds","Breakfast"
"Turkey lettuce wraps + mayo + avocado","Lunch"
"Bacon & eggs with sautéed kale","Breakfast"
"Sardines or mackerel over arugula + olive oil","Lunch"
"Egg muffins (spinach, cheddar, sausage)","Breakfast"
"Shrimp avocado salad with lime","Lunch"
"Cottage cheese + olive oil + herbs + cucumber","Breakfast"
"Chicken Caesar (no croutons) + anchovies","Lunch"
"Bulletproof coffee + eggs","Breakfast"
"Ground beef taco bowl (lettuce, cheese, sour cream, avocado)","Lunch"
"Fried eggs in butter with avocado","Breakfast"
"Leftover steak or chicken over greens","Lunch"
"Protein smoothie (almond milk, avocado, spinach, MCT)","Breakfast"
"Egg salad lettuce wraps","Lunch"
"Smoked trout or salmon plate","Breakfast"
"Salmon or tuna-stuffed avocado","Lunch"
"Salmon fillet + asparagus + olive oil / butter","Dinner"
"Macadamia, almond, walnut or pecan handful","Snack / Side"
"Ribeye or strip steak + buttered broccoli","Dinner"
"Cheese cubes + olives","Snack / Side"
"Pork chops + Brussels sprouts roasted in olive oil","Dinner"
"Hard-boiled eggs","Snack / Side"
"Chicken thighs (skin-on) + cauliflower + olive oil","Dinner"
"Celery + almond butter or cream cheese","Snack / Side"
"Lamb chops + zucchini noodles in pesto","Dinner"
"Pork rinds / cheese crisps","Snack / Side"
"Baked cod / haddock with cauliflower mash","Dinner"
"Bone broth","Snack / Side"
"Grass-fed burger (no bun) + side salad","Dinner"
"Avocado half with salt & olive oil","Snack / Side"
"Beef short ribs + cabbage","Dinner"
"Full-fat Greek yogurt or cottage cheese","Snack / Side"
"Pork tenderloin + green beans almondine","Dinner"
"Beef jerky (sugar-free)","Snack / Side"
"Trout / mackerel + roasted low-carb veggies","Dinner"
"Dark chocolate 85%+ (1–2 squares)","Snack / Side"
"Chicken drumsticks + garlic broccoli","Dinner"
"Cucumber or pickles","Snack / Side"
"Steak tips with mushrooms in butter","Dinner"
"Leftover meat or cold cuts + cheese","Snack / Side"
