"Name","Type","Details"
"Healthy Fats","Principle","Primary energy source. Emphasize monounsaturated (olive oil, avocado, nuts) and saturated from quality sources (butter, coconut, fatty fish, eggs, grass-fed meat). Avoid industrial seed oils."
"Protein","Principle","Adequate protein at every meal for satiety, muscle maintenance, and metabolic health. Aim for roughly palm-sized portions of protein-rich food per meal (adjust to body size & activity)."
"Minimal Carbohydrates","Principle","Keep net carbs low by focusing on non-starchy vegetables. Typical target for many on this style of eating: under 50g net carbs/day (often 20-30g for stricter keto). Track if desired."
"Whole Foods First","Principle","Base meals on real foods: meat, fish, eggs, vegetables, healthy oils, nuts, full-fat dairy. Minimize packaged keto products that are highly processed."
"Electrolytes & Hydration","Principle","Low-carb diets increase sodium and fluid loss initially. Salt food liberally, consider bone broth, and ensure magnesium & potassium from food or supplements if needed."
"Individualization","Principle","Portions and exact macros vary by age, sex, activity level, goals, and metabolic health. This plan provides structure and food quality; adjust quantities."
"Protein target","Macro Target","1.6-2.2 g per kg body weight (or ~20-35% of calories)"
"Fat target","Macro Target","Remainder of calories after protein & carbs (often 60-75% of calories on stricter low-carb)"
"Net Carbohydrates target","Macro Target","20-50 g per day (or under 10% of calories) depending on goals & tolerance"
"Fiber","Macro Target","From non-starchy vegetables; helps satiety and gut health"
"Disclaimer","Disclaimer","This meal planner is for general informational and educational purposes only. It is not medical advice, diagnosis, or treatment. Consult a qualified healthcare provider or registered dietitian before making significant dietary changes."
