"Name","Category","Needed"
"Eggs (pasture-raised preferred)","Proteins","No"
"Avocados","Healthy Fats & Dairy","No"
"Spinach / mixed greens / arugula","Low-Carb Vegetables","No"
"Coconut aminos or mustard","Pantry & Other","No"
"Chicken thighs / drumsticks (skin-on)","Proteins","No"
"Olive oil (extra virgin)","Healthy Fats & Dairy","No"
"Broccoli","Low-Carb Vegetables","No"
"Vinegar (apple cider, white wine)","Pantry & Other","No"
"Ground beef (grass-fed)","Proteins","No"
"Coconut oil / MCT oil","Healthy Fats & Dairy","No"
"Cauliflower","Low-Carb Vegetables","No"
"Spices & salt (Himalayan or sea)","Pantry & Other","No"
"Steak (ribeye, sirloin, strip)","Proteins","No"
"Butter or ghee (grass-fed)","Healthy Fats & Dairy","No"
"Brussels sprouts","Low-Carb Vegetables","No"
"Bone broth (or make your own)","Pantry & Other","No"
"Salmon or other fatty fish","Proteins","No"
"Full-fat Greek yogurt or sour cream","Healthy Fats & Dairy","No"
"Zucchini","Low-Carb Vegetables","No"
"Protein powder (optional, low-carb)","Pantry & Other","No"
"Sardines / mackerel (canned in olive oil)","Proteins","No"
"Cheese (cheddar, feta, Parmesan, blue, cream cheese)","Healthy Fats & Dairy","No"
"Asparagus","Low-Carb Vegetables","No"
"Dark chocolate 85%+","Pantry & Other","No"
"Pork chops or tenderloin","Proteins","No"
"Cottage cheese (full-fat)","Healthy Fats & Dairy","No"
"Green beans","Low-Carb Vegetables","No"
"Pork rinds (optional)","Pantry & Other","No"
"Bacon (sugar-free if possible)","Proteins","No"
"Heavy cream (optional)","Healthy Fats & Dairy","No"
"Cabbage","Low-Carb Vegetables","No"
"Herbal teas","Pantry & Other","No"
"Turkey or chicken breast (for variety)","Proteins","No"
"Mayonnaise (avocado oil or olive oil based)","Healthy Fats & Dairy","No"
"Cucumber","Low-Carb Vegetables","No"
"Pickles (no sugar)","Pantry & Other","No"
"Lamb chops or ground lamb","Proteins","No"
"Nuts: macadamia, almonds, walnuts, pecans","Healthy Fats & Dairy","No"
"Celery","Low-Carb Vegetables","No"
"Shrimp","Proteins","No"
"Seeds: chia, hemp, flax, pumpkin","Healthy Fats & Dairy","No"
"Mushrooms","Low-Carb Vegetables","No"
"Canned tuna","Proteins","No"
"Olives","Healthy Fats & Dairy","No"
"Garlic & onions (moderate)","Low-Carb Vegetables","No"
"Almond butter (no sugar)","Healthy Fats & Dairy","No"
"Herbs: cilantro, parsley, basil, dill","Low-Carb Vegetables","No"
"Lemon / lime","Low-Carb Vegetables","No"
