"Name","Day Number","Day of Week","Breakfast","Lunch","Dinner","Snack / Notes","Status"
"Day 1","1","Monday","Scrambled eggs (3) with avocado, spinach & feta in olive oil","Grilled chicken thighs with mixed greens, cucumber, olive oil & lemon dressing","Salmon fillet with asparagus roasted in olive oil + side of guacamole","Handful of macadamia nuts","Not started"
"Day 2","2","Tuesday","Greek yogurt (full-fat) with chia seeds, walnuts & a few raspberries","Tuna salad (mayo + celery) in lettuce cups with avocado slices","Ribeye steak with buttered broccoli and sautéed mushrooms","Cheese cubes + olives","Not started"
"Day 3","3","Wednesday","Omelette with smoked salmon, cream cheese & chives","Beef stir-fry with zucchini, broccoli & coconut oil + sesame seeds","Baked cod with cauliflower mash (butter + cream) and green beans","Hard-boiled eggs (2)","Not started"
"Day 4","4","Thursday","Bacon & eggs with sliced tomato and avocado","Turkey lettuce wraps with mayo, avocado, cheese & mustard","Pork chops with Brussels sprouts roasted in olive oil + garlic","Celery sticks with almond butter","Not started"
"Day 5","5","Friday","Chia pudding (coconut milk) topped with almonds & cinnamon","Cobb salad: chicken, bacon, egg, avocado, blue cheese, olive oil","Lamb chops with zucchini noodles in pesto (olive oil + basil + pine nuts)","Pork rinds or cheese crisps","Not started"
"Day 6","6","Saturday","Egg muffins with spinach, cheddar & bacon (batch cook)","Sardines in olive oil over arugula salad with lemon & Parmesan","Chicken thighs (skin-on) with roasted cauliflower & olive oil","A few dark chocolate squares (85%+)","Not started"
"Day 7","7","Sunday","Smoked salmon plate: cream cheese, cucumber, capers, boiled eggs","Grilled shrimp skewers with avocado-lime salad","Grass-fed burger (no bun) with cheese, lettuce, tomato & side salad","Bone broth or herbal tea","Not started"
"Day 8","8","Monday","Bulletproof-style coffee + 3-egg omelette with mushrooms & cheese","Leftover steak salad with olive oil, olives & feta","Baked salmon with dill butter + steamed broccoli","Macadamia nuts","Not started"
"Day 9","9","Tuesday","Cottage cheese (full-fat) with cucumber, everything bagel seasoning & olive oil drizzle","Chicken Caesar salad (no croutons) with anchovies & Parmesan","Beef short ribs slow-cooked with cabbage & bone broth","Olives + cheese","Not started"
"Day 10","10","Wednesday","Fried eggs in butter with avocado and smoked salmon","Egg salad (mayo) lettuce wraps + side of pickles","Pork tenderloin with green beans almondine (butter + almonds)","Greek yogurt with cinnamon","Not started"
